[INFO] Connecting to vehicle at 127.0.0.1:14550 ...
[INFO] Setting GUIDED mode ...
[INFO] Arming motors ...
[INFO] Taking off to 15.0 m ...
[TAKEOFF] Alt: 0.23 m
[INFO] Target altitude reached (≈95%).
[INFO] Loading YOLO model: yolo11l.pt
[INFO] Entering detection + control loop ... (press 'q' to quit window)
[CONTROL] det_conf=0.92 | err_x=-0.4px err_y=-124.7px | cmd vx=5.00 vy=-0.01 vz=-3.74 | meas vx=-0.02 vy=0.01 vz=-0.01 | Alt=-0.06
[CONTROL] det_conf=0.91 | err_x=-2.6px err_y=-98.6px | cmd vx=5.00 vy=-0.05 vz=-2.96 | meas vx=-0.02 vy=0.01 vz=-0.01 | Alt=-0.06
[CONTROL] det_conf=0.92 | err_x=-4.4px err_y=-76.0px | cmd vx=5.00 vy=-0.09 vz=-2.28 | meas vx=-0.02 vy=0.02 vz=-0.02 | Alt=-0.03
[CONTROL] det_conf=0.92 | err_x=-4.3px err_y=-58.7px | cmd vx=5.00 vy=-0.09 vz=-1.76 | meas vx=-0.02 vy=0.02 vz=-0.02 | Alt=-0.03
[CONTROL] det_conf=0.91 | err_x=-2.2px err_y=-57.3px | cmd vx=5.00 vy=-0.04 vz=-1.72 | meas vx=-0.02 vy=0.01 vz=-0.02 | Alt=-0.01
[CONTROL] det_conf=0.91 | err_x=1.9px err_y=-56.8px | cmd vx=5.00 vy=0.04 vz=-1.70 | meas vx=-0.02 vy=0.01 vz=-0.02 | Alt=-0.01
[CONTROL] det_conf=0.91 | err_x=3.1px err_y=-57.1px | cmd vx=5.00 vy=0.06 vz=-1.71 | meas vx=-0.02 vy=0.01 vz=-0.03 | Alt=0.00
[CONTROL] det_conf=0.91 | err_x=2.2px err_y=-57.5px | cmd vx=5.00 vy=0.04 vz=-1.73 | meas vx=-0.02 vy=0.01 vz=-0.03 | Alt=0.00
[CONTROL] det_conf=0.91 | err_x=1.6px err_y=-57.8px | cmd vx=5.00 vy=0.03 vz=-1.73 | meas vx=-0.02 vy=0.00 vz=-0.03 | Alt=0.03
[CONTROL] det_conf=0.91 | err_x=2.2px err_y=-57.8px | cmd vx=5.00 vy=0.04 vz=-1.73 | meas vx=-0.02 vy=0.00 vz=-0.03 | Alt=0.03
[CONTROL] det_conf=0.91 | err_x=3.5px err_y=-57.7px | cmd vx=5.00 vy=0.07 vz=-1.73 | meas vx=-0.02 vy=0.00 vz=-0.04 | Alt=0.06
[CONTROL] det_conf=0.92 | err_x=4.7px err_y=-57.4px | cmd vx=5.00 vy=0.09 vz=-1.72 | meas vx=-0.02 vy=0.00 vz=-0.04 | Alt=0.06
[CONTROL] det_conf=0.92 | err_x=4.4px err_y=-57.7px | cmd vx=5.00 vy=0.09 vz=-1.73 | meas vx=-0.02 vy=0.00 vz=-0.03 | Alt=0.09
[CONTROL] det_conf=0.91 | err_x=3.9px err_y=-57.5px | cmd vx=5.00 vy=0.08 vz=-1.72 | meas vx=-0.02 vy=0.00 vz=-0.03 | Alt=0.09
[CONTROL] det_conf=0.91 | err_x=4.4px err_y=-57.8px | cmd vx=5.00 vy=0.09 vz=-1.73 | meas vx=-0.03 vy=0.00 vz=-0.04 | Alt=0.13
[CONTROL] det_conf=0.92 | err_x=5.0px err_y=-57.9px | cmd vx=5.00 vy=0.10 vz=-1.74 | meas vx=-0.03 vy=0.00 vz=-0.04 | Alt=0.13
[CONTROL] det_conf=0.91 | err_x=5.6px err_y=-59.1px | cmd vx=5.00 vy=0.11 vz=-1.77 | meas vx=-0.02 vy=0.00 vz=-0.04 | Alt=0.15
